source_label	canonical_review_axis	candidate_release_broad	candidate_fine_label	transfer_ceiling	positive_markers_in_reference	required_query_evidence	rationale
Oocytes	strict_oocyte_candidate	Oocyte		strict_context_gate	ZP3;OOEP;FIGLA	non-ZP identity or maternal core;somatic anti-program pass;compact follicular foci;strict candidate reclustering	Zona RNA alone cannot transfer Oocyte identity to spatial cellbins.
Theca cells	follicular_somatic_review	Theca	Steroidogenic theca	fine_candidate_after_query_validation	LHCGR;CYP11A1;BMPR1B	STAR/CYP11A1/CYP17A1/HSD3B1/NR5A1 coherent program;outer follicular morphology	Theca is evidence-dependent and LHCGR alone is insufficient.
Theca interna	follicular_somatic_review	Theca		candidate_only	LHCGR;ZEB2;BNC2	coherent steroidogenic/androgenic program;separation from granulosa and follicular stroma	Displayed markers provide a source hypothesis but weak steroidogenic support.
Granulosa cells	follicular_somatic_review	Granulosa		broad_only_after_calibration	INHA;FST;FSHR	FOXL2/FSHR/INHA/FST family;theca/stromal anti-program pass;follicular morphology	Strong broad reference anchor; subtype still requires query evidence.
Stromal cells	stromal_mesenchymal_mural_review	Stromal/mesenchymal		broad_only_after_calibration	DCN;PDGFRA;SPON2	ECM/fibroblast program;endothelial/contractile/steroidogenic anti-program review	Do not hide separable smooth-muscle or pericyte programs inside generic stroma.
Endothelial cells	vascular_endothelial_mural_review	Vascular-associated	Blood endothelial	fine_candidate_after_query_validation	PECAM1;CLDN5;ETS1	PECAM1/CDH5/VWF/CLDN5 backbone;branching vascular morphology	Blood versus lymphatic is optional fine resolution under the shared vascular parent.
Lymphatic endothelial cells	vascular_endothelial_mural_review	Vascular-associated	Lymphatic endothelial	fine_candidate_after_query_validation	PROX1;PDPN;CCL21	lymphatic program plus endothelial backbone;coherent lymphatic morphology	PDPN or CCL21 without endothelial backbone is insufficient.
Perivascular cells	vascular_endothelial_mural_review	Vascular-associated	Pericyte/mural	fine_candidate_after_query_validation	RGS5;PDGFRB	RGS5/PDGFRB/CSPG4/NOTCH3/MCAM backbone;vascular adjacency;separation from smooth muscle and stroma	Reference presence triggers a mandatory fine-boundary audit under the shared vascular parent.
Smooth muscle cells	stromal_mesenchymal_mural_review	Smooth muscle		candidate_only	MYH11;CSRP2;ADIRF	MYH11/CNN1/ACTG2 mature core plus contractile support;stable structural tracks	ACTA2/TAGLN-only stroma cannot inherit this label.
APCs&B cells	immune_review	Immune	APC or B-cell unresolved	broad_only_after_calibration	PTPRC;CD74;CTSZ	immune backbone;separate antigen-presentation from CD79A/MS4A1/CD37 B-cell program	The combined source label cannot transfer a B-cell subtype.
T cells	immune_review	Immune	T cell	fine_candidate_after_query_validation	CD3E;PTPRCAP;CD52	CD3D/CD3E/CD3G/TRAC coherent program;myeloid anti-program pass	Fine transfer requires query lymphoid depth.
NK cells	immune_review	Immune	NK cell	candidate_only	SKAP1;DOCK2;IKZF1	NKG7/GNLY/PRF1/CTSW cytotoxic program;T-cell receptor anti-program review	Displayed markers are largely pan-lymphoid and do not alone establish NK.
Glial cells	neural_candidate_review	Neural/Schwann	Glial/Schwann	fine_candidate_after_query_validation	S100B;SOX10;CDH19	SOX10/S100B/PLP1/MPZ/PMP22 coherent program;nerve-track morphology	A rare evidence-dependent lineage.
Neuroendocrine cells	neural_candidate_review		Neuronal-like or neuroendocrine candidate	candidate_only	RBFOX1;TENM3;DLG2	for neuroendocrine require CHGA/CHGB/SYP/SCG/INSM1;for neuronal-like require coherent neural program and track morphology	Displayed markers are neuronal-like rather than a classical neuroendocrine secretory program.
Epic	epithelial_mesothelial_review	Epithelial/mesothelial	Epithelial	fine_candidate_after_query_validation	EPCAM;KRT8;ALDH1A2	EPCAM/KRT8/KRT18 epithelial program;continuous surface morphology;mesothelial alternatives reviewed	Use the source alias only in provenance; publish a biologically explicit name.
